"ASN","Entity"
"15497","COLOCALL Internet Data Center ColoCALL, UA"
"15510","CWCS-PS, GB"
"15626","ITLAS, UA"
"15727","Digital Space Group Limited (KEME-IPSWICH)"
"15734","IDH, ES"
"15919","Servicios de Hosting en Internet S.A."
"15960","WIIT AG (GLOBALACCESS)"
"16034","Digital Space Group Limited (KEME)"
"16095","Sentia Danmark A/S (JAYNET)"
"16125","CHERRYSERVERS1-AS, LT"
"16245","Sentia Danmark A/S (NGDC)"
"16262","DELTA-LTD-AS, RU"
"16276","OVH, FR"
"16278","WorldStream B.V."
"16284","UNSPECIFIED, NG"
"16312","NO | SURFSAFE-AS, NO"
"16397","EQUINIX BRASIL SP, BR"
"16509","AMAZON-02 - Amazon.com, Inc., US"
"16535","Echostar Holding Purchasing Corporation"
"16628","DEDICATED-FIBER-COMMUNICATIONS - DedFiberCo, US"
"16652","Riseup Networks"
"16695","TierPoint, LLC"
"16858","TierPoint, LLC"
"16862","Kansas Hosting, LLC"
"16973","Corporacion Hostarica S.A."
"17019","JCHost Internet Services, LLC"
"17048","US | AWKNET-LLC"
"17113","TierPoint, LLC"
"17139","NETRANGE - Corporate Colocation Inc."
"17185","Data102 (D102-PHL-1)"
"17216","DC74-AS - DC74 LLC, US"
"17312","ID | TERNETCONNEC,ZA"
"17378","TierPoint, LLC"
"17393","SERVERGRID - The Aldridge Company"
"17439","Netmagic Datacenter Mumbai"
"17440","AU | SAANET-AS-ID PT Sinar Alam Abadi, ID"
"17451","BIZNET NETWORKS"
"17669","INFOPLEX Hosting and Managed Service Provider Asia Pacific"
"17683","CA | WINTECH-COM Wingtechnology Communications, Inc.,JP"
"17881","Inet Hosting Inc."
"17918","INFOPLEX Hosting and Managed Service Provider Asia Pacific"
"17920","Ultra Serve Internet Pty Ltd - Transit AS - Hosting Provider"
"17971","TM-VADS DC Hosting"
"17997","CN | China Enterprise Communications Ltd."
"18013","AU | ASLINE LIMITED"
"18025","PH | ACE-1-WIFI-AS-AP Ace-1 Wifi Network"
"18120","Gemini Software Solutions (P) Ltd. Hosting Services, India"
"18447","Ntirety, Inc. (AFFINITY-INTER)"
"18450","WEBNX - WebNX, Inc., US"
"18570","EchoStar Broadcasting Corperation"
"18586","US | DIVINEHOST - Divine Hosting Services"
"18645","US | Netragy LLC"
"18650","KORAX - HostPapa"
"18779","EGIHOSTING - EGIHosting, US"
"18837","Oracle Corporation (AddThis)"
"18978","ENZUINC-US - Enzu Inc, US"
"18981","US | IPSTRADA - Supreme Telecom Systems, Inc., US"
"18984","SERVERCAVE - Janus Host"
"19019","TierPoint, LLC"
"19084","COLOUP - ColoUp, US"
"19133","Bird Hosting Inc."
"19148","Leaseweb USA, Inc."
"19234","Canada Web Hosting"
"19235","Ntirety, Inc. (HOSTING-COM)"
"19318","NJIIX-AS-1 - NEW JERSEY INTERNATIONAL INTERNET EXCHANGE LLC,"
"19374","TierPoint, LLC"
"19376","JUSTNET Ministerie van Justitie, NL"
"19437","SS-ASH - SECURED SERVERS LLC, US"
"19531","NODESDIRECT - Nodes Direct, US"
"19549","SERVERSILO - HostPapa"
"19624","SERVERROOM - Data Room, Inc, US"
"19710","US | DINO-SOL"
"19832","za | Link Data Group"
"19844","GORACK - GoRack LLC, US"
"19871","NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US"
"19894","US | Novel, Inc (novelscs.com)"
"19969","JOESDATACENTER - Joe's Datacenter, LLC, US"
"20021","LNH-INC - HostMySite, US"
"20068","Hawk Host Inc."
"20150","AS20150 - anyNode, US"
"20248","Take 2 Hosting, Inc."
"20264","WEBAIR-INTERNET-2 - Webair Internet Development Company Inc."
"20278","Nexeon Technologies, Inc."
"20360","CA | OppoBox LLC"
"20401","Hostway Corporation"
"20448","VPNtranet, LLC."
"20450","Trojan Hosting, LLC."
"20454","SSASN2 - SECURED SERVERS LLC, US"
"20473","AS-CHOOPA - Choopa, LLC, US"
"20598","CYBERSPACE-AS Autonomous System number for Cyber Space, IL"
"20616","Cyber_Folks-RO-DC_PIE Cyber_Folks SRL"
"20621","OPENIT PlusServer GmbH"
"20679","HSO / Syntura Group Limited"
"20692","NetGate Datacenter ASN"
"20714","UA | Merlin-Telekom LLC"
"20730","GB | BIKS+ Ltd."
"20738","AS20738, GB"
"20773","HOSTEUROPE-AS, DE"
"20836","CDLAN-AS Milano, IT"
"20857","TRANSIP-AS"
"20860","IOMART-AS, GB"
"20949","INCOSOFT - 1 Cloud Lab s.r.o. (ex-Colocall)"
"21100","ITLDC-NL, UA"
"21130","IOMART CLOUD SERVICES LIMITED (IOMART-IE)"
"21155","ASN-PROSERVE"
"21159","NOVOSERVE-GMBH-AS Frankfurt, Germany, NL"
"21217","Safe Host SA"
"21321","ARETI-AS, GB"
"21584","US | X2CLOUD-MAIN - X2Cloud"
"21679","SERVERSIDE-01 - Server Side"
"21773","AS-PUH - Hostwinds LLC."
"21859","ZNET - Zenlayer Inc, US"
"21926","US | TREASUREISLAND-ASN1 - Treasure Island Colocation"
"21983","US | AURORNET - Aurora Networking, US"
"22119","US | Junction Methods, LLC"
"22152","OC Hosting, Inc."
"22211","Internap Holding LLC (INTERNAP-FCP)"
"22363","PHMGMT-AS1 - Powerhouse Management, Inc., US"
"22427","US | United Colo"
"22552","ESITED - eSited Solutions, US"
"22558","VPSDATACENTER - VPS Datacenter"
"22611","InMotion Hosting, Inc."
"22628","US | Alta Tecnologia (ALTEC), S.A."
"22676","US | TELENTIA - Telentia, US"
"22720","Rackspace Hosting"
"22781","RBLHST - Strong Technology, LLC., US"
"22893","US | CYBERWORLD-INT - Cyber World Internet Services, Inc., US"
"22903","Edgewebhosting.net"
"22979","US | DUPACO-COM-BGP"
"23033","WOW - Wowrack.com, US"
"23052","ihost Solutions, Inc."
"23108","Quantact Hosting Solutions, Inc."
"23273","Santa Barbara Web Hosting, Inc."
"23312","US | NAQUEIT - Naque IT, US"
"23342","UNITEDLAYER - Unitedlayer, Inc., US"
"23352","SERVERCENTRAL - Server Central Network, US"
"23450","US | Triumph Networking LLC"
"23470","RELIABLESITE, US"
"23535","HostRocket.com, Inc."
"23537","US | MICROSOURCEASN - Micro Source, Inc."
"23881","UDomain Web Hosting Company Ltd"
"24142","CN | Shanghai Bennalong Network Technology Co.,LTD"
"24220","Hostcentral"
"24381","Web Hosting and Colocation Services"
"24428","CN | Beijing Founder Broadband Network Technology Co.,Ltd"
